Наименование;Запрос;URL источника;Cloudinary URL;Статус
Акконд крекер фас. Мистер рыбка 90г/14;Акконд крекер Мистер рыбка;https://main-cdn.sbermegamarket.ru/big1/hlr-system/-17/749/099/041/221/024/100063940616b0.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780947279/auto/akkond-mister-rybka.jpg;привязан (та же фотография, что 300г)
Акконд крекер вес. Русалочкин хоровод 1/5;Акконд крекер Русалочкин хоровод;https://apteka-info.ru/upload/iblock/7a0/97u8yujsnjx8oy2l2g8hgdgyfph40ujk.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780950136/auto/akkond-rusalochkin.jpg;привязан
Акконд крекер вес. Калейдоскоп улыбок 1/5;Акконд крекер Калейдоскоп улыбок;https://ir-torg.com/d/koleydoskop_ulybok.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780950187/auto/akkond-kaleidoskop2.png;привязан
Акконд крекер фас. Полька со вкусом ЛУКА и УКРОПА 300г/10;Акконд крекер Полька со вкусом лука и укропа;https://ir.ozone.ru/s3/multimedia-4/6757083832.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780950247/auto/akkond-polka-luk-ukrop.jpg;привязан
Акконд крекер фас. Полька со вкусом СМЕТАНЫ и ЛУКА 300г/10;Акконд крекер Полька со вкусом сметаны и лука;https://ir.ozone.ru/s3/multimedia-3/6757085451.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780950311/auto/akkond-polka-smetana-luk.jpg;привязан
Акконд крекер вес. с солью мини 1/4;Акконд крекер с солью мини весовой;https://skonditer.ru/image/cache/catalog/krek-s-sol-yu-mini-so-vkusom-kolbaski-gril-4-0-aoquotakkondquot/8f551c4c-3424-11ed-9752-74d02b9971bb-500x500.jpeg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780950364/auto/akkond-sol-mini.jpg;привязан
Акконд крекер вес. АККОНДОВСКИЙ с солью со вкусом сметаны и лука 1/3;Акконд крекер Аккондовский мини сметаны и лука с солью;https://app.willesden.by/images/2982510.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780950413/auto/akkond-akkondovsky-smetana-luk.jpg;привязан
Акконд вафли фас. ПломбирОк 250г/8;Акконд вафли ПломбирОк 250г;https://ir.ozone.ru/s3/multimedia-e/6778111766.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780978493/auto/akkond-plombirok.jpg;привязан
Акконд вафли фас. Хуторок 250г/6;Акконд вафли Хуторок 250г;https://main-cdn.sbermegamarket.ru/hlr-system/-63/377/700/178/221/600003180379b0.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780978598/auto/akkond-hutorok.jpg;привязан
Акконд вес. карамель Вита+Мини Мята-Ментол 1/4кг;Акконд карамель Вита+Мини мята-ментол;https://ir.ozone.ru/s3/multimedia-1-4/7749426424.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780978704/auto/akkond-vita-mini-myata.jpg;привязан
Акконд вес. карамель жевательная Капелька ассорти 1/5;Акконд карамель жевательная Капелька микс ассорти;https://akkond-online.ru/upload/iblock/a8f/jbocxxi7sgl6hpjvv31ab8km4rhdw0eg.png;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780978777/auto/akkond-kapelka-assorti.webp;привязан
Акконд вес. карамель жевательная Капелька со вкусом апельсина 1/5;Акконд карамель жевательная Капелька апельсин;https://basket-40.wbbasket.ru/vol9249/part924985/924985543/images/big/1.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780978851/auto/akkond-kapelka-apelsin.webp;привязан
Акконд вес. конфеты желейные ФРУ 7 со вкусом Дыни 1/3;Акконд ФРУ 7 со вкусом дыни;;;пропущен (только баннеры/карамель-форма)
Акконд вес. вафли На сорбите 1/4;Акконд вафли на сорбите;;;пропущен (нет точного товара Акконд)
Акконд вес. карамель жевательная Капелька со вкусом клубники 1/5;Акконд карамель Капелька клубника;https://ir.ozone.ru/s3/multimedia-1-6/9608423154.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980230/auto/kapelka_klubnika.jpg;привязан
Акконд вес. карамель Ликёрная 1/4;Акконд карамель Ликёрная;https://ir.ozone.ru/s3/multimedia-1-2/6998144582.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980327/auto/likernaya.jpg;привязан
Акконд вес. карамель Ликёрная микс 1/4;Акконд карамель Ликёрная микс;;;пропущен (только баннеры)
Акконд вес. карамель Рози Блюз COFFEE 1/4;Акконд карамель Рози Блюз COFFEE;https://sladosti38.ru/...coffee.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980441/auto/rozi_blyuz_coffee.webp;привязан
Акконд вес. карамель Рози Блюз MILK 1/4;Акконд карамель Рози Блюз MILK;https://basket-20.wbbasket.ru/vol3424/part342428/342428304/images/big/1.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980445/auto/rozi_blyuz_milk.webp;привязан
Акконд вес. карамель Рози Блюз со вкусом Малины и Сливок 1/4;Акконд карамель Рози Блюз малина сливки;https://skonditer.ru/...maliny-i-slivok...1000x1000.jpeg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980449/auto/rozi_blyuz_malina.jpg;привязан
Акконд вес. карамель Рози Блюз дюшес 1/4;Акконд рози блюз дюшес;;;пропущен (только баннеры)
Акконд вес. карамель Рози Блюз Кола 1/4;Акконд рози блюз кола;;;пропущен (только баннеры)
Акконд вес. карамель Эвкалипт-Ментол 1/5 + перекрут;Акконд карамель Эвкалипт-Ментол перекрут;https://basket-17.wbbasket.ru/vol2727/part272755/272755167/images/big/1.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980667/auto/evkalipt_mentol_perekrut.webp;привязан
Акконд вес. карамель Эвкалипт-Ментол 1/4 + (флоу-пак);Акконд карамель Эвкалипт-Ментол флоу-пак;;;пропущен (форма упаковки не отличима на фото)
Акконд вес. карамель Эвкалипт-Ментол 1/5 экстра;Акконд карамель Эвкалипт-Ментол экстра;;;пропущен (вариант не отличим на фото)
Акконд вес. карамель Эвкалипт-Имбирь 1/5;Акконд карамель Эвкалипт-Имбирь;;;пропущен (только баннеры/коллажи)
Акконд вес. конфеты Батончик Акконд 1/4;Акконд конфеты Батончик Акконд;https://basket-14.wbbasket.ru/vol2172/part217281/217281265/images/big/1.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980844/auto/batonchik_akkond.webp;привязан
Акконд вес. конфеты Бравер с шоколадной начинкой 1/6;Акконд конфеты Бравер шоколадная начинка;https://akkond.ru/upload/...8ogm424dzhbdxmwo51mir62x70dwhj31.png.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780980948/auto/braver_shokoladnaya.webp;привязан (офиц. akkond.ru)
Акконд вес. конфеты Бравер с ореховой начинкой 1/6;БРАВЕР с ореховой начинкой;https://tkleg.com/img/product/big_38920928-9379-11f0-95c8-000c29625974.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780981043/auto/braver_orehovaya.jpg;привязан
Акконд вес. конфеты Бравер с кофейной начинкой 1/6;БРАВЕР с кофейной начинкой;https://main-cdn.sbermegamarket.ru/big1/hlr-system/-28/318/729/910/281/051/100074807420b0.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780981046/auto/braver_kofeynaya.jpg;привязан
Акконд вес. конфеты Ломтишка Клубника десерт 1/2 УПК;Акконд Ломтишка Клубника десерт;;;"пропущен (чистое фото — не тот вкус; клубника только баннером)"
Акконд вес. конфеты Молочная речка горячий шоколад в глазури 1/3;Акконд Молочная речка горячий шоколад;;;"пропущен (чистое фото — карамель-вариант; нужный вариант только баннером)"
Акконд вес. конфеты Нямик молочные 1/4кг;Акконд конфеты Нямик молочные;https://akkond.ru/upload/...fso17ix46tnzhafo4rcbom7xbd0ta9e3.png.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780981295/auto/nyamik_molochnye.webp;привязан (офиц. akkond.ru)
Акконд вес. конфеты Отломи с кокосом 1/2кг УПК;Акконд конфеты Отломи с кокосом;https://p24.by/upload/iblock/37e/qy0maytybmymoj217h8rfmnexjyjebp5/1_14600648592153.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780981398/auto/otlomi_kokos.jpg;привязан
Акконд вес. конфеты Слимо хрустящие с миндалём 1/4;Акконд конфеты Слимо с миндалем;;;пропущен (только баннеры/иной формат Квадро)
Акконд вес. конфеты Слимо Стик с арахисом 1/3;Акконд Слимо Стик с арахисом;https://tyumen.tkleg.com/img/product/big_cf3bd294-bf82-11f0-95cc-000c29625974.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780981544/auto/slimo_stick_arahis.jpg;привязан
Акконд вес. конфеты Шоконатка 1/4;Акконд конфеты Шоконатка с арахисом;https://basket-12.wbbasket.ru/vol1811/part181110/181110369/images/big/1.webp;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780981622/auto/shokonatka.webp;привязан
Акконд вес. конфеты желейные ФРУ 7 со вкусом Дыни 1/3;Акконд конфеты желейные ФРУ 7 Дыня;yandex.ru/images;;"пропущен: отдельной упаковки вкуса ""Дыня"" нет, в выдаче только ассорти/арбуз/дюшес"
Акконд вес. вафли На сорбите 1/4;Акконд вафли без сахара на сорбите;image.globus.ru/web/93/00/4149300.jpg;https://res.cloudinary.com/dwcghxgwh/image/upload/v1780987111/auto/akkond-vafli-sorbit.jpg;привязан
Акконд вес. карамель Ликёрная микс 1/4;Акконд карамель Ликёрная микс;akkond.ru (ЛИКЁРНАЯ микс, 1 кг);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-likernaya-miks.jpg;привязан
Акконд вес. карамель Рози Блюз дюшес 1/4;Рози Блюз дюшес (akkond.ru);puddostavka.ru РОЗИ БЛЮЗ дюшес 1кг;https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-rozi-blues-dushes.jpg;привязан
Акконд вес. карамель Рози Блюз Кола 1/4;Карамель Рози Блюз Кола Акконд;yandex.ru/images;;"пропущен: только баннеры WB/Ozon с текстом и плашкой ""1 кг""; чистого фото вкуса ""кола"" не нашлось"
Акконд вес. карамель Эвкалипт-Имбирь 1/5;Акконд карамель Эвкалипт Имбирь;yandex.ru/images;;"пропущен: все источники (WB/Ozon/ime.by) — баннеры с текстом ""1 кг"", чистого фото упаковки нет"
Акконд вес. карамель Эвкалипт-Ментол 1/4 + (флоу-пак);Акконд карамель Эвкалипт Ментол;image.globus.ru/web/38/18/2603818.jpg (пакет 150г);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-evkalipt-mentol.jpg;привязан
Акконд вес. карамель Эвкалипт-Ментол 1/5 экстра;Акконд карамель Эвкалипт Ментол;Яндекс mpic (Лента, конфеты);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-evkalipt-mentol-ekstra.jpg;привязан
Акконд вес. конфеты Ломтишка Клубника десерт 1/2 УПК;Акконд конфеты Ломтишка Клубника;Ozon (Ломтишка клубника, чистое фото);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-lomtishka-klubnika.jpg;привязан
Акконд вес. конфеты Молочная речка горячий шоколад в глазури 1/3;Акконд Молочная речка горячий шоколад;novostea.ru (Молочная речка горячий шоколад);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-molochnaya-rechka-goryachiy.jpg;привязан
Акконд вес. конфеты Слимо хрустящие с миндалём 1/4;Акконд конфеты Слимо хрустящие миндаль;akond70.ru (Слимо хрустящие с миндалём);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-slimo-mindal.jpg;привязан
Акконд крекер вес. АККОНДОВСКИЙ ФИТСИ 1/5;Аккондовский Фитси крекер;yandex.ru/images;;"пропущен: в выдаче только злаковые конфеты-батончики ""Фитси"", а не крекер; достоверного фото крекера нет"
Акконд Крекер с солью 190г/20;Акконд Крекер с солью 190г;WB (Крекер Акконд с солью 190г);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-kreker-sol.jpg;привязан
Акконд крекер фас. Крекерсы со вкус. Итальян. сыра 180г/8;Акконд Крекерсы итальянский сыр;bigmart.uz (Крекерсы итальянский сыр 180г);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-krekersy-italyan-syr.jpg;привязан
Акконд печ. вес. АККОНДОВСКОЕ Мария 1/3.5;Акконд печенье Аккондовское Мария;akond70.ru (Мария без обёртки, весовое);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-pech-mariya2.jpg;привязан
Акконд печ. вес. Вёрсты Аккондовские 1/5;Акконд печенье Вёрсты Аккондовские;skorus.ru (Вёрсты затяжное, весовое);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-pech-versty.jpg;привязан
Акконд печ. вес. Галеты классические 1/4;Акконд печенье Галеты классические;sbermegamarket (Галеты классические, чистое фото);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-galety-klass.jpg;привязан
Акконд печ. вес. Добрянка фундук печенье-сэндвич 1/3;Акконд Добрянка фундук печенье;votonia.ru (Добрянка фундук печенье-сэндвич);https://res.cloudinary.com/dwcghxgwh/image/upload/auto/akkond-dobryanka-funduk.jpg;привязан
